permutation,BFS_Sequential_Steps,BFS_Parallel_Steps,Batcher_Comparators_Only,Batcher Merge sort_Steps,Batcher Merge sort_Time_ms,Advanced Batcher Merge sort_Steps,Advanced Batcher Merge sort_Time_ms,Bitonic_Steps,Bitonic_Time_ms
"[0, 1, 2, 3, 4, 5, 6, 7]",0,0,10,0,0.04600000102072954,0,0.017899998056236655,10,0.01630000042496249
"[0, 1, 2, 3, 4, 5, 7, 6]",1,1,9,1,0.01069999416358769,1,0.011100004485342652,9,0.009399998816661537
"[0, 1, 2, 3, 4, 6, 5, 7]",3,3,9,3,0.006400005077011883,3,0.009000003046821803,9,0.00839999847812578
"[0, 1, 2, 3, 4, 6, 7, 5]",2,2,8,4,0.006199996278155595,4,0.009499999578110874,8,0.007700000423938036
"[0, 1, 2, 3, 4, 7, 5, 6]",2,2,10,4,0.005599998985417187,4,0.00910000380827114,10,0.007800001185387373
"[0, 1, 2, 3, 4, 7, 6, 5]",1,1,9,5,0.006900001608300954,5,0.05130000499775633,9,0.00839999847812578
"[0, 1, 2, 3, 5, 4, 6, 7]",1,1,11,1,0.0034000040614046156,1,0.005200003215577453,11,0.007800001185387373
"[0, 1, 2, 3, 5, 4, 7, 6]",2,1,10,2,0.004699999408330768,1,0.0109999964479357,10,0.008199996955227107
"[0, 1, 2, 3, 5, 6, 4, 7]",2,2,8,4,0.005599998985417187,4,0.011500000255182385,8,0.007499998901039362
"[0, 1, 2, 3, 5, 6, 7, 4]",3,2,7,5,0.006599999323952943,5,0.01080000220099464,7,0.007199996616691351
"[0, 1, 2, 3, 5, 7, 4, 6]",3,3,9,5,0.006599999323952943,4,0.011200005246791989,9,0.007700000423938036
"[0, 1, 2, 3, 5, 7, 6, 4]",2,2,8,6,0.008100003469735384,5,0.013000004400964826,8,0.007299997378140688
"[0, 1, 2, 3, 6, 4, 5, 7]",2,2,10,4,0.00530000397702679,4,0.008300004992634058,10,0.007399998139590025
"[0, 1, 2, 3, 6, 4, 7, 5]",3,3,9,5,0.006599999323952943,4,0.010299998393747956,9,0.007299997378140688
"[0, 1, 2, 3, 6, 5, 4, 7]",1,1,9,5,0.00670000008540228,5,0.010900002962443978,9,0.007499998901039362
"[0, 1, 2, 3, 6, 5, 7, 4]",2,2,8,6,0.00790000194683671,5,0.012599994079209864,8,0.007199996616691351
"[0, 1, 2, 3, 6, 7, 4, 5]",2,1,8,2,0.004499997885432094,1,0.006900001608300954,8,0.007099995855242014
"[0, 1, 2, 3, 6, 7, 5, 4]",3,2,7,3,0.005899993993807584,2,0.009000003046821803,7,0.006800000846851617
"[0, 1, 2, 3, 7, 4, 5, 6]",3,2,11,5,0.00670000008540228,5,0.010700001439545304,11,0.007700000423938036
"[0, 1, 2, 3, 7, 4, 6, 5]",2,2,10,6,0.007800001185387373,5,0.012500000593718141,10,0.007499998901039362
"[0, 1, 2, 3, 7, 5, 4, 6]",2,2,10,6,0.007700000423938036,5,0.012200005585327744,10,0.007700000423938036
"[0, 1, 2, 3, 7, 5, 6, 4]",3,3,9,7,0.009000003046821803,5,0.013700002455152571,9,0.007299997378140688
"[0, 1, 2, 3, 7, 6, 4, 5]",3,2,9,3,0.00549999822396785,2,0.008899995009414852,9,0.007299997378140688
"[0, 1, 2, 3, 7, 6, 5, 4]",4,2,8,4,0.007000002369750291,2,0.010299998393747956,8,0.006900001608300954
"[0, 1, 2, 4, 3, 5, 6, 7]",5,3,11,5,0.005099995178170502,5,0.00790000194683671,11,0.007599999662488699
"[0, 1, 2, 4, 3, 5, 7, 6]",6,3,10,6,0.006199996278155595,6,0.009700001101009548,10,0.007700000423938036
"[0, 1, 2, 4, 3, 6, 5, 7]",6,3,10,8,0.006599999323952943,8,0.010600000678095967,10,0.007599999662488699
"[0, 1, 2, 4, 3, 6, 7, 5]",5,3,9,9,0.008000002708286047,9,0.014299999747890979,9,0.007300004654098302
"[0, 1, 2, 4, 3, 7, 5, 6]",5,3,11,9,0.008000002708286047,9,0.012699994840659201,11,0.007700000423938036
"[0, 1, 2, 4, 3, 7, 6, 5]",6,3,10,10,0.009099996532313526,10,0.014800003555137664,10,0.007399998139590025
"[0, 1, 2, 4, 5, 3, 6, 7]",4,3,12,6,0.005699999746866524,6,0.0092999980552122,12,0.007899994670879096
"[0, 1, 2, 4, 5, 3, 7, 6]",5,3,11,7,0.007200003892648965,6,0.011000003723893315,11,0.007700000423938036
"[0, 1, 2, 4, 5, 6, 3, 7]",5,3,9,9,0.00790000194683671,9,0.012799995602108538,9,0.007399998139590025
"[0, 1, 2, 4, 5, 6, 7, 3]",4,3,8,10,0.008900002285372466,10,0.014599994756281376,8,0.007199996616691351
"[0, 1, 2, 4, 5, 7, 3, 6]",4,3,10,10,0.008899995009414852,9,0.014899997040629387,10,0.007600006938446313
"[0, 1, 2, 4, 5, 7, 6, 3]",3,3,9,11,0.012099997547920793,10,0.01670000347075984,9,0.007399998139590025
"[0, 1, 2, 4, 6, 3, 5, 7]",5,3,11,9,0.00790000194683671,9,0.012700002116616815,11,0.007799993909429759
"[0, 1, 2, 4, 6, 3, 7, 5]",4,3,10,10,0.009000003046821803,9,0.014299999747890979,10,0.007599999662488699
"[0, 1, 2, 4, 6, 5, 3, 7]",4,3,10,10,0.008999995770864189,10,0.014999997802078724,10,0.007599999662488699
"[0, 1, 2, 4, 6, 5, 7, 3]",3,3,9,11,0.01049999991664663,10,0.017300000763498247,9,0.007400005415547639
"[0, 1, 2, 4, 6, 7, 3, 5]",5,3,9,7,0.007200003892648965,6,0.011100004485342652,9,0.007300004654098302
"[0, 1, 2, 4, 6, 7, 5, 3]",4,3,8,8,0.008400005754083395,7,0.013500000932253897,8,0.007199996616691351
"[0, 1, 2, 4, 7, 3, 5, 6]",6,3,12,10,0.009199997293762863,10,0.014999997802078724,12,0.007899994670879096
"[0, 1, 2, 4, 7, 3, 6, 5]",5,3,11,11,0.01049999991664663,10,0.016600002709310502,11,0.007599999662488699
