ID,Permutation,Batcher_Comparators_Only,OddEven_Sequential_Steps,OddEven_Sequential_Time_ms,OddEven_Parallel_Steps,OddEven_Parallel_Time_ms,Bitonic_Sequential_Steps,Bitonic_Sequential_Time_ms,Greedy_Beam_Search_Steps,Greedy_Beam_Search_Time_ms
1,"[15, 0, 10, 4, 3, 11, 1, 7, 8, 5, 6, 2, 12, 9, 14, 13]",40,80,0.4146999563090503,35,0.20519999088719487,40,0.037100049667060375,11,5.415800027549267
2,"[0, 8, 1, 12, 2, 5, 9, 14, 4, 6, 10, 7, 3, 11, 13, 15]",34,54,0.0771000050008297,26,0.10380003368481994,34,0.03630004357546568,14,1.470700022764504
3,"[1, 5, 0, 8, 9, 11, 2, 15, 3, 12, 4, 6, 10, 14, 13, 7]",37,69,0.09520002640783787,28,0.12240000069141388,37,0.03670004662126303,14,3.105199954006821
4,"[1, 9, 0, 4, 10, 8, 2, 11, 3, 15, 5, 12, 7, 14, 13, 6]",40,58,0.407799961976707,21,0.27089996729046106,40,0.08269998943433166,12,8.862199960276484
5,"[3, 1, 7, 13, 11, 0, 8, 15, 2, 5, 10, 6, 9, 14, 12, 4]",34,86,0.11860002996399999,33,0.15189999248832464,34,0.03359996480867267,12,1.1141999857500196
6,"[3, 1, 11, 7, 8, 0, 9, 5, 2, 6, 15, 13, 14, 4, 10, 12]",41,79,0.09129999671131372,36,0.12270000297576189,41,0.03130000550299883,13,5.6588000152260065
7,"[3, 5, 11, 1, 8, 0, 9, 7, 2, 6, 14, 13, 10, 4, 12, 15]",40,82,0.09619997581467032,41,0.13120000949129462,40,0.03130000550299883,25,2.6014000177383423
8,"[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11, 12, 13, 14, 15]",37,7,0.014199991710484028,7,0.017000013031065464,37,0.028799986466765404,19,0.9046000195667148
9,"[6, 2, 14, 13, 3, 11, 10, 7, 0, 5, 8, 1, 15, 12, 4, 9]",39,67,0.08379999781027436,24,0.11399999493733048,39,0.029199989512562752,10,0.9592999704182148
10,"[6, 4, 11, 0, 9, 8, 12, 2, 15, 5, 3, 7, 10, 13, 14, 1]",41,91,0.09940000018104911,28,0.12590002734214067,41,0.028999987989664078,11,0.9537999867461622
11,"[13, 1, 14, 0, 9, 2, 15, 6, 12, 8, 11, 3, 4, 5, 7, 10]",37,83,0.10120001388713717,34,0.1406999654136598,37,0.03370002377778292,12,0.9292999748140574
12,"[0, 2, 3, 5, 7, 11, 13, 1, 4, 6, 8, 9, 10, 12, 14, 15]",36,52,0.0591999851167202,32,0.08319999324157834,36,0.03160000778734684,17,4.544899973552674
13,"[8, 14, 0, 3, 2, 5, 10, 7, 4, 9, 12, 11, 1, 13, 6, 15]",37,81,0.08700002217665315,41,0.1191999763250351,37,0.02929999027401209,10,4.221900017000735
14,"[7, 14, 9, 6, 11, 0, 13, 2, 5, 15, 10, 12, 1, 4, 3, 8]",37,77,0.09460002183914185,25,0.1218999968841672,37,0.02929999027401209,20,2.3261000169441104
15,"[1, 2, 4, 8, 0, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",39,21,0.036299985367804766,14,0.045199994929134846,39,0.033100019209086895,10,4.368799971416593
16,"[0, 1, 14, 3, 4, 5, 7, 8, 15, 13, 10, 6, 9, 12, 11, 2]",32,80,0.09859999408945441,41,0.132500019390136,32,0.030099996365606785,16,0.9713000035844743
17,"[2, 5, 3, 15, 4, 13, 6, 7, 8, 9, 10, 11, 12, 1, 14, 0]",33,77,0.08729996625334024,33,0.1317000132985413,33,0.029199989512562752,26,1.309799961745739
18,"[0, 1, 2, 3, 4, 5, 14, 11, 8, 6, 10, 9, 12, 15, 13, 7]",28,50,0.05929998587816954,35,0.0847000046633184,28,0.027800037059932947,20,0.8050999604165554
19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 10, 11, 12, 13, 14, 15]",45,31,0.03609998384490609,28,0.05440000677481294,45,0.032999960239976645,4,0.2514999941922724
20,"[1, 11, 3, 9, 2, 7, 13, 15, 14, 8, 5, 4, 10, 0, 12, 6]",41,83,0.09650003630667925,28,0.12280000373721123,41,0.0369000481441617,18,1.384899951517582
21,"[5, 0, 12, 15, 7, 1, 6, 2, 4, 10, 13, 3, 11, 8, 14, 9]",34,78,0.08940004045143723,30,0.19539997447282076,34,0.05400000372901559,6,1.2043000315316021
22,"[9, 0, 2, 15, 11, 6, 7, 8, 14, 3, 4, 13, 5, 1, 12, 10]",41,77,0.15969999367371202,28,0.132200017105788,41,0.03270001616328955,9,1.1102999560534954
23,"[6, 15, 9, 5, 13, 12, 3, 7, 2, 10, 1, 11, 0, 14, 4, 8]",39,87,0.11169997742399573,30,0.1438999897800386,39,0.03360002301633358,17,1.4938999665901065
24,"[1, 11, 3, 9, 2, 7, 13, 15, 14, 8, 5, 4, 10, 0, 12, 6]",41,83,0.09979994501918554,28,0.12450001668184996,41,0.030700000934302807,18,1.9181999959982932
